step,edge_id,avg_speed,vehicle_count,occupancy,traffic_flow
100,'E4,0,0,0.0,0
100,'E40,0,0,0.0,0
100,'E41,0,0,0.0,0
100,'E5,0,0,0.0,0
100,'E6,0,0,0.0,0
100,'E8,17.924957029064306,1,0.3577791083612386,17.924957029064306
100,'E9,12.058328151925542,3,0.40052303110550136,36.174984455776624
100,'E9.823,18.548395722704953,1,0.6027537803271426,18.548395722704953
200,'-E0,0,0,0.0,0
200,'-E1,0,0,0.0,0
200,'-E1.703,0,0,0.0,0
200,'-E10,21.249128730236784,2,0.6719395880679275,42.49825746047357
200,'-E11,0,0,0.0,0
200,'-E12,19.07434332992785,2,0.5663043230555365,38.1486866598557
200,'-E13,17.62005855164308,3,1.0003825236582566,52.860175654929236
200,'-E15,15.821270251883217,4,1.1274841733036682,63.28508100753287
200,'-E16,18.831457814671683,4,0.8037620529422437,75.32583125868673
200,'-E17,0,0,0.0,0
200,'-E18,0,0,0.0,0
200,'-E19,0,0,0.0,0
200,'-E2,0,0,0.0,0
200,'-E2.372,15.496649764598088,3,0.7718129274879482,46.48994929379426
200,'-E21,18.6158140061354,2,1.817780394465705,37.2316280122708
200,'-E211,17.5256,1,0.15953555697364938,17.5256
200,'-E22,20.72847396824662,1,0.7999087680427487,20.72847396824662
200,'-E23,0,0,0.0,0
200,'-E24,0,0,0.0,0
200,'-E25,19.59495364227937,1,0.14827759684380543,19.59495364227937
200,'-E26,0,0,0.0,0
200,'-E27,0,0,0.0,0
200,'-E28,20.998659334440145,1,0.3204091831035598,20.998659334440145
200,'-E29,0,0,0.0,0
200,'-E3,20.996749429206588,1,0.1817723775749472,20.996749429206588
200,'-E31,0,0,0.0,0
200,'-E32,0,0,0.0,0
200,'-E33,15.656401250005338,1,0.5386986857050139,15.656401250005338
200,'-E34,20.158998906647625,1,0.48660722199571005,20.158998906647625
200,'-E35,0,0,0.0,0
200,'-E36,0,0,0.0,0
200,'-E37,0,0,0.0,0
200,'-E38,16.04573914726676,2,0.4720985875633538,32.09147829453352
200,'-E39,0,0,0.0,0
200,'-E4,20.679753463905733,2,1.40811185644335,41.359506927811466
200,'-E40,19.098071699346423,4,0.4885255013236993,76.3922867973857
200,'-E41,21.967624396707485,1,0.6040820523366408,21.967624396707485
200,'-E5,17.764118883818078,1,0.4076217270373093,17.764118883818078
200,'-E7,16.766644114236176,4,0.5863697705802969,67.0665764569447
200,'-E8,19.344699402793182,2,0.9765004176553642,38.689398805586364
200,'-E9,0,0,0.0,0
200,'-E9.302,19.69009465229943,1,0.10032731787456577,19.69009465229943
200,':J10_0,0,0,0.0,0
200,':J10_1,0,0,0.0,0
200,':J10_10,0,0,0.0,0
200,':J10_12,0,0,0.0,0
200,':J10_13,0,0,0.0,0
200,':J10_14,0,0,0.0,0
200,':J10_17,0,0,0.0,0
200,':J10_18,0,0,0.0,0
200,':J10_19,0,0,0.0,0
200,':J10_20,0,0,0.0,0
200,':J10_21,0,0,0.0,0
200,':J10_3,0,0,0.0,0
200,':J10_4,0,0,0.0,0
200,':J10_5,0,0,0.0,0
200,':J10_8,0,0,0.0,0
200,':J10_9,0,0,0.0,0
200,':J11_0,0,0,0.0,0
200,':J11_1,0,0,0.0,0
200,':J11_10,0,0,0.0,0
200,':J11_12,0,0,0.0,0
200,':J11_13,0,0,0.0,0
200,':J11_14,0,0,0.0,0
200,':J11_15,0,0,0.0,0
200,':J11_17,0,0,0.0,0
200,':J11_19,0,0,0.0,0
200,':J11_20,0,0,0.0,0
200,':J11_21,0,0,0.0,0
200,':J11_22,0,0,0.0,0
200,':J11_23,0,0,0.0,0
200,':J11_3,0,0,0.0,0
200,':J11_4,0,0,0.0,0
200,':J11_5,0,0,0.0,0
200,':J11_8,0,0,0.0,0
200,':J11_9,0,0,0.0,0
200,':J12_0,0,0,0.0,0
200,':J12_1,0,0,0.0,0
200,':J12_2,0,0,0.0,0
200,':J12_4,0,0,0.0,0
200,':J12_6,0,0,0.0,0
200,':J12_8,0,0,0.0,0
200,':J12_9,0,0,0.0,0
200,':J13_0,0,0,0.0,0
200,':J13_1,0,0,0.0,0
200,':J13_10,0,0,0.0,0
200,':J13_11,0,0,0.0,0
200,':J13_12,0,0,0.0,0
200,':J13_14,0,0,0.0,0
200,':J13_15,0,0,0.0,0
200,':J13_16,0,0,0.0,0
200,':J13_3,0,0,0.0,0
200,':J13_4,0,0,0.0,0
200,':J13_5,0,0,0.0,0
200,':J13_6,0,0,0.0,0
200,':J13_7,0,0,0.0,0
200,':J13_8,0,0,0.0,0
200,':J14_0,0,0,0.0,0
200,':J14_11,0,0,0.0,0
200,':J14_3,0,0,0.0,0
200,':J14_4,0,0,0.0,0
200,':J14_5,0,0,0.0,0
200,':J14_6,0,0,0.0,0
200,':J14_8,0,0,0.0,0
200,':J18_0,0,0,0.0,0
200,':J18_3,0,0,0.0,0
200,':J19_0,0,0,0.0,0
200,':J19_3,0,0,0.0,0
200,':J1_0,0,0,0.0,0
200,':J1_2,0,0,0.0,0
200,':J20_0,0,0,0.0,0
200,':J20_3,0,0,0.0,0
200,':J22_0,0,0,0.0,0
200,':J22_1,0,0,0.0,0
200,':J22_10,0,0,0.0,0
200,':J22_13,0,0,0.0,0
200,':J22_14,0,0,0.0,0
200,':J22_15,0,0,0.0,0
200,':J22_17,0,0,0.0,0
200,':J22_18,0,0,0.0,0
200,':J22_19,0,0,0.0,0
200,':J22_20,0,0,0.0,0
200,':J22_21,0,0,0.0,0
200,':J22_4,0,0,0.0,0
200,':J22_5,0,0,0.0,0
200,':J22_6,0,0,0.0,0
200,':J22_8,0,0,0.0,0
200,':J22_9,0,0,0.0,0
200,':J23_0,0,0,0.0,0
200,':J23_10,0,0,0.0,0
200,':J23_11,0,0,0.0,0
200,':J23_3,0,0,0.0,0
200,':J23_4,0,0,0.0,0
200,':J23_6,0,0,0.0,0
200,':J23_8,0,0,0.0,0
200,':J25_0,0,0,0.0,0
200,':J25_2,0,0,0.0,0
200,':J25_3,0,0,0.0,0
200,':J25_5,0,0,0.0,0
200,':J25_6,0,0,0.0,0
200,':J25_8,0,0,0.0,0
200,':J25_9,0,0,0.0,0
200,':J26_0,0,0,0.0,0
200,':J26_2,0,0,0.0,0
200,':J27_0,0,0,0.0,0
200,':J27_2,0,0,0.0,0
200,':J2_0,0,0,0.0,0
200,':J2_1,0,0,0.0,0
200,':J2_10,0,0,0.0,0
200,':J2_12,0,0,0.0,0
200,':J2_13,0,0,0.0,0
200,':J2_14,0,0,0.0,0
200,':J2_17,0,0,0.0,0
200,':J2_18,0,0,0.0,0
200,':J2_19,0,0,0.0,0
200,':J2_3,0,0,0.0,0
200,':J2_4,0,0,0.0,0
200,':J2_5,0,0,0.0,0
200,':J2_8,0,0,0.0,0
200,':J2_9,0,0,0.0,0
200,':J30_0,0,0,0.0,0
200,':J30_11,0,0,0.0,0
200,':J30_3,0,0,0.0,0
200,':J30_4,0,0,0.0,0
200,':J30_5,0,0,0.0,0
200,':J30_7,0,0,0.0,0
200,':J30_9,0,0,0.0,0
200,':J31_0,0,0,0.0,0
200,':J31_2,0,0,0.0,0
200,':J31_3,0,0,0.0,0
200,':J31_5,0,0,0.0,0
200,':J31_6,0,0,0.0,0
200,':J31_8,0,0,0.0,0
200,':J31_9,0,0,0.0,0
200,':J32_0,0,0,0.0,0
200,':J32_2,0,0,0.0,0
200,':J32_3,0,0,0.0,0
200,':J32_5,0,0,0.0,0
200,':J32_6,0,0,0.0,0
200,':J32_8,0,0,0.0,0
200,':J32_9,0,0,0.0,0
200,':J33_0,0,0,0.0,0
200,':J33_2,0,0,0.0,0
200,':J33_3,0,0,0.0,0
200,':J33_5,0,0,0.0,0
200,':J33_6,0,0,0.0,0
200,':J33_8,0,0,0.0,0
200,':J33_9,0,0,0.0,0
200,':J34_0,0,0,0.0,0
200,':J34_1,0,0,0.0,0
200,':J39_0,0,0,0.0,0
200,':J39_11,0,0,0.0,0
200,':J39_3,0,0,0.0,0
200,':J39_6,0,0,0.0,0
200,':J39_9,0,0,0.0,0
200,':J3_0,0,0,0.0,0
200,':J3_3,0,0,0.0,0
200,':J40_0,0,0,0.0,0
200,':J40_2,0,0,0.0,0
200,':J40_3,0,0,0.0,0
